,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ferrol,ES,1666053704,43.4832,-8.2369,65.34,79,100,5.59
1,Kapaa,US,1666053704,22.0752,-159.319,84.18,69,0,9.22
2,Deep River,CA,1666053705,46.1001,-77.4995,46.15,98,35,5.19
3,Ushuaia,AR,1666053488,-54.8,-68.3,44.26,81,100,12.66
4,Russellville,US,1666053687,35.2784,-93.1338,57.34,34,0,8.05
5,Nikolskoye,RU,1666053705,59.7035,30.7861,48.09,90,100,7.23
6,Mar del Plata,AR,1666053705,-38.0023,-57.5575,57.09,85,0,14.0
7,Santa Marinella,IT,1666053706,42.0345,11.8536,68.7,79,0,3.4
8,Rikitea,PF,1666053706,-23.1203,-134.9692,68.85,68,61,19.86
9,Puerto Ayora,EC,1666053706,-0.7393,-90.3518,67.55,86,15,4.0
10,Yellowknife,CA,1666053707,62.456,-114.3525,45.12,70,20,12.66
11,Bambous Virieux,MU,1666053627,-20.3428,57.7575,66.22,69,18,10.36
12,Biak,ID,1666053707,-0.9131,122.8766,83.03,69,100,2.62
13,Albany,US,1666053707,42.6001,-73.9662,53.42,94,100,1.39
14,San Fernando,PH,1666053708,15.0286,120.6898,85.73,74,89,4.05
15,Kenai,US,1666053708,60.5544,-151.2583,48.29,86,20,0.0
16,Castro,BR,1666053424,-24.7911,-50.0119,59.41,95,100,9.35
17,Inyonga,TZ,1666053708,-6.7167,32.0667,75.02,41,100,5.93
18,Cherskiy,RU,1666053709,68.75,161.3,1.36,91,34,2.62
19,Talas,TR,1666053709,38.6908,35.5538,52.47,82,40,11.5
20,Chubbuck,US,1666053709,42.9208,-112.4661,73.29,27,0,3.44
21,Pesochnoye,RU,1666053710,58.006,39.1772,46.53,84,100,9.17
22,Ribeira Grande,PT,1666053710,38.5167,-28.7,56.77,75,29,8.99
23,Busselton,AU,1666053710,-33.65,115.3333,59.34,67,0,3.56
24,Broken Hill,AU,1666053710,-31.95,141.4333,63.77,44,96,14.05
25,Lavrentiya,RU,1666053711,65.5833,-171.0,31.98,76,81,7.83
26,Acapulco de Juárez,MX,1666053511,16.8634,-99.8901,84.02,79,100,2.3
27,Pineville,US,1666053415,31.3224,-92.4343,64.29,67,0,3.44
28,Nevers,FR,1666053711,46.9896,3.159,60.55,96,14,3.94
29,Punta Arenas,CL,1666053703,-53.15,-70.9167,50.11,71,75,8.05
30,Atuona,PF,1666053449,-9.8,-139.0333,76.89,73,31,12.5
31,Guerrero Negro,MX,1666053530,27.9769,-114.0611,71.96,74,0,15.57
32,Peniche,PT,1666053712,39.3558,-9.3811,67.28,91,99,11.36
33,Partizanskoye,RU,1666053712,55.5006,94.39,41.11,75,19,20.69
34,Lebu,CL,1666053712,-37.6167,-73.65,53.24,96,100,6.82
35,Bluff,NZ,1666053713,-46.6,168.3333,48.97,66,37,25.26
36,Olafsvik,IS,1666053713,64.8945,-23.7142,43.86,69,76,11.79
37,Saint-Philippe,RE,1666053713,-21.3585,55.7679,63.99,79,40,8.81
38,Missoula,US,1666053424,47.0166,-113.8009,50.56,53,10,3.4
39,Tiksi,RU,1666053714,71.6872,128.8694,11.37,87,95,14.88
40,Concepción del Oro,MX,1666053714,24.6333,-101.4167,72.5,35,43,2.15
41,Namatanai,PG,1666053714,-3.6667,152.4333,83.75,70,100,12.37
42,Khvorostyanka,RU,1666053714,52.6096,48.9597,42.46,68,100,11.03
43,Mahina,PF,1666053715,-17.5065,-149.489,82.17,74,40,4.61
44,New Norfolk,AU,1666053422,-42.7826,147.0587,58.91,46,100,4.09
45,Kavieng,PG,1666053715,-2.5744,150.7967,83.14,75,80,15.14
46,Swan Hill,AU,1666053715,-35.3378,143.5544,63.93,59,100,7.34
47,Kemijärvi,FI,1666053716,66.7131,27.4306,33.01,93,25,4.43
48,Pisco,PE,1666053506,-13.7,-76.2167,60.85,82,20,14.97
49,Arraial do Cabo,BR,1666053716,-22.9661,-42.0278,73.36,88,0,13.8
50,Padang,ID,1666053716,-0.9492,100.3543,75.25,77,100,2.1
